"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20200401,경상남도,48,서울특별시,11,종로구,11110,12,41,12,21,50,4,150,9,67,32,12
20200401,경상남도,48,서울특별시,11,중구,11140,14,107,12,32,64,9,124,4,122,33,12
20200401,경상남도,48,서울특별시,11,용산구,11170,12,70,4,144,106,12,214,7,76,30,16
20200401,경상남도,48,서울특별시,11,성동구,11200,13,98,13,48,119,12,201,38,111,128,30
20200401,경상남도,48,서울특별시,11,광진구,11215,23,85,9,50,105,18,255,10,85,23,30
20200401,경상남도,48,서울특별시,11,동대문구,11230,19,126,3,40,114,15,216,8,156,34,23
20200401,강원도,42,서울특별시,11,용산구,11170,4,30,3,52,32,0,192,0,23,9,17
20200401,강원도,42,서울특별시,11,성동구,11200,6,27,10,12,33,0,221,19,66,57,22
20200401,강원도,42,서울특별시,11,광진구,11215,14,35,8,14,39,0,237,48,19,9,31
20200401,강원도,42,서울특별시,11,동대문구,11230,5,36,3,11,26,0,211,22,48,22,22
20200401,강원도,42,서울특별시,11,중랑구,11260,4,34,13,18,27,0,199,21,30,9,21
20200401,강원도,42,서울특별시,11,성북구,11290,8,51,10,20,42,3,319,27,93,26,23
20200401,강원도,42,서울특별시,11,강북구,11305,4,26,0,7,28,3,184,10,16,8,19
20200401,강원도,42,서울특별시,11,도봉구,11320,0,36,0,11,28,0,205,6,16,8,13
20200401,강원도,42,서울특별시,11,노원구,11350,10,39,15,11,27,3,334,45,24,8,31
20200401,강원도,42,서울특별시,11,은평구,11380,8,36,5,10,39,0,303,26,18,10,29
20200401,강원도,42,서울특별시,11,서대문구,11410,6,29,5,9,27,0,194,18,7,8,23
20200401,강원도,42,서울특별시,11,마포구,11440,4,47,12,10,38,4,289,9,38,15,23
20200401,강원도,42,서울특별시,11,양천구,11470,6,39,9,14,29,0,296,27,15,12,21
20200401,강원도,42,서울특별시,11,강서구,11500,10,60,13,21,51,3,380,32,39,12,55
20200401,강원도,42,서울특별시,11,구로구,11530,10,34,5,14,35,5,256,8,28,12,21
20200401,강원도,42,서울특별시,11,금천구,11545,4,31,5,18,31,4,167,10,48,19,22
20200401,강원도,42,서울특별시,11,영등포구,11560,8,63,7,20,44,0,284,16,18,9,34
20200401,강원도,42,서울특별시,11,동작구,11590,5,40,6,12,34,0,261,14,16,8,32
20200401,강원도,42,서울특별시,11,관악구,11620,10,44,14,17,48,8,367,30,34,15,42
20200401,울산광역시,31,서울특별시,11,강남구,11680,4,60,15,11,60,7,41,9,81,32,30
20200401,울산광역시,31,서울특별시,11,송파구,11710,6,52,17,12,65,8,29,5,56,22,31
20200401,울산광역시,31,서울특별시,11,강동구,11740,3,25,11,3,38,5,16,5,24,14,11
20200401,강원도,42,서울특별시,11,서초구,11650,10,63,15,18,39,4,349,37,23,9,31
20200401,강원도,42,서울특별시,11,강남구,11680,6,118,20,30,94,4,560,12,51,22,23
20200401,강원도,42,서울특별시,11,송파구,11710,12,85,23,21,60,7,566,22,63,14,65
20200401,강원도,42,서울특별시,11,강동구,11740,11,39,10,13,39,0,321,34,14,10,16
20200401,경상남도,48,서울특별시,11,중랑구,11260,13,74,6,46,120,15,197,17,94,44,16
20200401,경상남도,48,서울특별시,11,성북구,11290,14,157,12,68,183,19,330,14,242,67,28
20200401,경상남도,48,서울특별시,11,강북구,11305,13,72,8,40,74,11,174,4,87,15,20
20200401,세종특별자치시,36,서울특별시,11,강동구,11740,5,6,4,11,90,0,102,8,4,0,27
20200401,세종특별자치시,36,서울특별시,11,송파구,11710,4,22,4,7,125,0,197,4,16,6,48
20200401,세종특별자치시,36,서울특별시,11,강남구,11680,6,42,5,12,141,0,148,0,27,6,59
20200401,세종특별자치시,36,서울특별시,11,서초구,11650,0,13,5,6,83,0,123,3,11,7,35
20200401,세종특별자치시,36,서울특별시,11,관악구,11620,0,12,7,14,88,0,166,4,6,0,38
20200401,세종특별자치시,36,서울특별시,11,동작구,11590,0,10,3,8,67,0,111,0,5,0,30
20200401,세종특별자치시,36,서울특별시,11,영등포구,11560,0,13,9,5,95,0,110,4,5,0,27
20200401,세종특별자치시,36,서울특별시,11,금천구,11545,0,12,0,3,30,0,62,4,27,7,22
20200401,세종특별자치시,36,서울특별시,11,구로구,11530,0,6,5,5,89,0,100,6,4,0,24
20200401,세종특별자치시,36,서울특별시,11,강서구,11500,3,13,3,10,165,0,165,9,15,4,64
20200401,세종특별자치시,36,서울특별시,11,양천구,11470,0,9,3,8,94,0,123,3,4,0,33
20200401,세종특별자치시,36,서울특별시,11,마포구,11440,4,8,4,4,89,0,125,5,8,6,37
20200401,세종특별자치시,36,서울특별시,11,서대문구,11410,0,4,3,3,47,0,91,0,3,0,24
20200401,세종특별자치시,36,서울특별시,11,은평구,11380,0,10,0,9,70,0,131,3,9,0,29
20200401,세종특별자치시,36,서울특별시,11,노원구,11350,0,11,3,9,59,0,141,0,9,0,25
20200401,세종특별자치시,36,서울특별시,11,도봉구,11320,0,8,3,3,39,0,83,4,7,0,17
20200401,세종특별자치시,36,서울특별시,11,강북구,11305,0,0,0,0,29,0,67,0,6,0,14
