"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20200501,전라남도,46,서울특별시,11,종로구,11110,0,12,3,0,13,0,194,0,16,13,6
20200501,충청북도,43,서울특별시,11,용산구,11170,4,49,11,34,70,9,532,8,59,23,8
20200501,충청북도,43,서울특별시,11,성동구,11200,10,69,16,7,49,8,613,17,86,76,7
20200501,충청북도,43,서울특별시,11,광진구,11215,0,68,12,12,70,15,559,18,72,12,21
20200501,충청북도,43,서울특별시,11,동대문구,11230,11,68,14,15,72,8,571,38,94,14,15
20200501,충청북도,43,서울특별시,11,중랑구,11260,6,69,13,12,73,13,505,26,89,18,13
20200501,충청북도,43,서울특별시,11,성북구,11290,9,102,25,9,106,9,745,18,146,26,27
20200501,충청북도,43,서울특별시,11,강북구,11305,5,49,3,9,52,5,442,5,62,20,10
20200501,충청북도,43,서울특별시,11,도봉구,11320,6,46,9,13,54,9,537,11,69,10,9
20200501,충청북도,43,서울특별시,11,노원구,11350,5,116,16,14,89,7,729,18,141,24,19
20200501,충청북도,43,서울특별시,11,은평구,11380,13,75,15,6,97,16,847,12,106,21,22
20200501,충청북도,43,서울특별시,11,서대문구,11410,5,57,14,5,75,9,666,14,62,11,12
20200501,충청북도,43,서울특별시,11,마포구,11440,5,98,24,15,94,11,780,43,109,24,16
20200501,충청북도,43,서울특별시,11,양천구,11470,5,93,14,15,98,14,698,15,104,22,18
20200501,충청북도,43,서울특별시,11,강서구,11500,14,101,17,19,133,18,1052,39,179,27,32
20200501,충청북도,43,서울특별시,11,구로구,11530,6,87,16,13,92,15,670,16,75,15,18
20200501,충청북도,43,서울특별시,11,금천구,11545,6,48,7,15,54,4,340,7,136,40,14
20200501,충청북도,43,서울특별시,11,영등포구,11560,7,82,14,16,92,9,779,26,96,28,18
20200501,충청북도,43,서울특별시,11,동작구,11590,3,67,16,10,54,14,751,16,91,21,17
20200501,충청북도,43,서울특별시,11,관악구,11620,13,77,14,14,118,19,825,18,100,20,19
20200501,충청북도,43,서울특별시,11,서초구,11650,10,85,22,10,100,11,1095,21,73,30,14
20200501,경기도,41,서울특별시,11,강동구,11740,378,1639,671,597,2132,222,3473,644,2541,632,1606
20200501,경기도,41,서울특별시,11,송파구,11710,565,3173,1227,962,3706,410,6037,935,4154,1227,2502
20200501,경기도,41,서울특별시,11,강남구,11680,591,3872,1621,990,3856,460,5963,760,4255,1234,2567
20200501,대전광역시,30,서울특별시,11,서대문구,11410,6,89,11,17,139,12,190,12,41,26,80
20200501,대전광역시,30,서울특별시,11,은평구,11380,8,121,16,19,242,15,271,11,56,19,123
20200501,대전광역시,30,서울특별시,11,노원구,11350,9,141,9,24,275,15,301,22,81,26,131
20200501,대전광역시,30,서울특별시,11,도봉구,11320,7,65,4,17,147,10,163,15,33,12,94
20200501,대전광역시,30,서울특별시,11,강북구,11305,6,70,10,12,140,6,160,7,38,15,78
20200501,대전광역시,30,서울특별시,11,성북구,11290,7,130,4,23,214,15,229,16,114,31,146
20200501,대전광역시,30,서울특별시,11,중랑구,11260,6,83,4,19,217,8,182,14,55,21,178
20200501,대전광역시,30,서울특별시,11,동대문구,11230,8,74,9,29,164,7,211,10,71,17,108
20200501,대전광역시,30,서울특별시,11,광진구,11215,6,85,9,25,191,12,213,9,52,18,95
20200501,대전광역시,30,서울특별시,11,성동구,11200,4,75,13,15,168,5,190,15,47,60,88
20200501,대전광역시,30,서울특별시,11,용산구,11170,4,62,9,60,131,4,140,4,32,34,78
20200501,대전광역시,30,서울특별시,11,중구,11140,7,50,17,11,90,5,137,3,54,40,55
20200501,대전광역시,30,서울특별시,11,종로구,11110,6,43,5,12,102,0,103,7,22,13,34
20200501,인천광역시,28,서울특별시,11,마포구,11440,74,312,73,125,354,50,448,70,325,149,148
20200501,인천광역시,28,서울특별시,11,서대문구,11410,62,182,52,90,232,33,314,48,218,107,104
20200501,인천광역시,28,서울특별시,11,은평구,11380,82,263,55,104,318,35,370,82,339,118,168
20200501,인천광역시,28,서울특별시,11,노원구,11350,97,286,54,118,364,43,402,68,381,126,133
20200501,인천광역시,28,서울특별시,11,도봉구,11320,52,144,27,67,193,32,254,53,232,85,86
20200501,인천광역시,28,서울특별시,11,강북구,11305,51,146,29,42,212,23,218,39,217,79,83
20200501,인천광역시,28,서울특별시,11,성북구,11290,75,294,64,101,326,35,414,68,427,154,147
