"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20201201,부산광역시,26,서울특별시,11,도봉구,11320,20,166,19,57,152,21,453,19,289,125,65
20201201,부산광역시,26,서울특별시,11,강북구,11305,31,165,22,53,140,16,466,18,318,141,60
20201201,부산광역시,26,서울특별시,11,성북구,11290,56,336,37,111,279,33,732,36,563,198,104
20201201,부산광역시,26,서울특별시,11,중랑구,11260,35,233,20,65,202,36,542,23,472,161,67
20201201,부산광역시,26,서울특별시,11,동대문구,11230,51,232,20,77,204,25,515,32,443,175,82
20201201,부산광역시,26,서울특별시,11,광진구,11215,46,237,25,98,223,20,590,19,416,153,99
20201201,부산광역시,26,서울특별시,11,성동구,11200,39,284,40,70,220,44,477,27,454,197,69
20201201,부산광역시,26,서울특별시,11,용산구,11170,38,179,17,170,139,27,449,21,296,112,77
20201201,부산광역시,26,서울특별시,11,중구,11140,21,220,20,59,151,23,293,12,271,135,68
20201201,부산광역시,26,서울특별시,11,종로구,11110,15,155,9,45,143,13,271,9,204,77,25
20201201,제주특별자치도,50,서울특별시,11,구로구,11530,0,20,0,0,5,0,1007,0,10,4,0
20201201,제주특별자치도,50,서울특별시,11,강서구,11500,0,67,0,0,4,10,1548,0,21,8,3
20201201,제주특별자치도,50,서울특별시,11,양천구,11470,0,29,0,0,4,0,1181,0,4,0,0
20201201,제주특별자치도,50,서울특별시,11,마포구,11440,5,32,4,0,4,0,1182,0,16,12,0
20201201,제주특별자치도,50,서울특별시,11,서대문구,11410,0,26,3,0,3,0,940,0,7,4,0
20201201,제주특별자치도,50,서울특별시,11,은평구,11380,3,33,5,3,4,0,1140,0,7,4,0
20201201,제주특별자치도,50,서울특별시,11,노원구,11350,3,35,0,0,0,0,1285,0,10,0,0
20201201,제주특별자치도,50,서울특별시,11,도봉구,11320,0,25,3,0,0,0,671,0,0,0,0
20201201,제주특별자치도,50,서울특별시,11,강북구,11305,0,16,8,3,0,0,674,0,9,3,0
20201201,제주특별자치도,50,서울특별시,11,성북구,11290,0,40,0,9,6,0,1123,0,32,8,0
20201201,제주특별자치도,50,서울특별시,11,중랑구,11260,0,30,0,0,0,0,810,0,14,4,0
20201201,제주특별자치도,50,서울특별시,11,동대문구,11230,0,25,3,0,10,0,915,0,38,4,0
20201201,제주특별자치도,50,서울특별시,11,광진구,11215,0,14,3,0,0,0,916,0,6,3,0
20201201,제주특별자치도,50,서울특별시,11,성동구,11200,0,37,0,0,0,0,891,0,10,27,0
20201201,제주특별자치도,50,서울특별시,11,용산구,11170,0,15,4,13,0,0,704,0,9,0,0
20201201,제주특별자치도,50,서울특별시,11,중구,11140,5,19,4,0,0,0,521,0,19,8,0
20201201,제주특별자치도,50,서울특별시,11,종로구,11110,0,14,0,0,0,0,526,0,12,5,0
20201201,강원도,42,서울특별시,11,강서구,11500,5,58,14,34,72,10,420,41,76,21,46
20201201,강원도,42,서울특별시,11,양천구,11470,10,36,10,22,41,7,322,9,23,19,29
20201201,강원도,42,서울특별시,11,마포구,11440,4,72,20,29,43,8,240,13,38,20,14
20201201,강원도,42,서울특별시,11,서대문구,11410,0,47,14,18,39,0,228,9,18,13,18
20201201,강원도,42,서울특별시,11,은평구,11380,6,33,15,14,49,6,291,10,41,14,43
20201201,강원도,42,서울특별시,11,노원구,11350,3,51,20,17,33,0,350,12,47,19,18
20201201,강원도,42,서울특별시,11,도봉구,11320,3,12,8,19,22,7,194,9,12,8,21
20201201,강원도,42,서울특별시,11,강북구,11305,0,17,7,9,22,3,208,7,30,13,23
20201201,강원도,42,서울특별시,11,성북구,11290,12,78,17,20,51,14,292,14,87,35,17
20201201,강원도,42,서울특별시,11,중랑구,11260,0,45,9,10,37,5,233,11,39,13,29
20201201,강원도,42,서울특별시,11,동대문구,11230,3,63,15,19,30,5,211,10,63,23,21
20201201,강원도,42,서울특별시,11,광진구,11215,5,53,8,28,41,4,224,12,28,21,22
