"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20181001,강원도,42,서울특별시,11,노원구,11350,6,67,5,27,55,5,509,37,35,23,63
20181001,강원도,42,서울특별시,11,은평구,11380,16,53,4,19,48,5,397,18,95,38,58
20181001,강원도,42,서울특별시,11,서대문구,11410,15,38,10,22,27,0,310,21,28,18,48
20181001,강원도,42,서울특별시,11,마포구,11440,17,66,12,28,56,8,420,28,28,21,56
20181001,강원도,42,서울특별시,11,양천구,11470,8,45,4,29,54,9,416,23,24,25,52
20181001,강원도,42,서울특별시,11,강서구,11500,25,84,22,26,75,11,592,63,73,25,78
20181001,강원도,42,서울특별시,11,구로구,11530,18,44,6,20,49,4,400,32,26,14,44
20181001,강원도,42,서울특별시,11,금천구,11545,13,59,3,31,31,5,244,21,83,18,48
20181001,강원도,42,서울특별시,11,영등포구,11560,10,67,4,34,64,6,424,28,23,18,67
20181001,강원도,42,서울특별시,11,동작구,11590,11,55,4,25,62,9,392,25,44,15,67
20181001,강원도,42,서울특별시,11,관악구,11620,20,74,7,40,50,3,508,33,41,25,78
20181001,강원도,42,서울특별시,11,서초구,11650,15,88,7,27,81,12,482,23,28,29,54
20181001,강원도,42,서울특별시,11,강남구,11680,27,235,11,39,112,15,748,23,66,40,99
20181001,강원도,42,서울특별시,11,송파구,11710,29,134,9,36,110,7,711,37,76,30,85
20181001,강원도,42,서울특별시,11,강동구,11740,42,60,5,18,58,8,416,32,32,21,49
20181001,충청남도,44,서울특별시,11,강동구,11740,36,198,10,41,147,12,424,38,140,55,146
20181001,충청남도,44,서울특별시,11,송파구,11710,77,332,12,80,257,23,799,70,285,103,295
20181001,충청남도,44,서울특별시,11,강남구,11680,57,359,14,91,321,30,848,62,286,89,324
20181001,충청남도,44,서울특별시,11,서초구,11650,50,272,15,65,219,22,585,48,169,48,227
20181001,충청남도,44,서울특별시,11,관악구,11620,32,251,7,59,215,8,592,39,198,68,233
20181001,충청남도,44,서울특별시,11,동작구,11590,36,217,11,56,173,8,461,33,199,55,170
20181001,충청남도,44,서울특별시,11,영등포구,11560,30,219,10,72,151,15,494,42,153,62,181
20181001,충청남도,44,서울특별시,11,금천구,11545,17,152,6,58,124,14,265,56,177,48,112
20181001,충청남도,44,서울특별시,11,구로구,11530,41,166,9,48,181,14,450,39,161,53,170
20181001,충청남도,44,서울특별시,11,강서구,11500,67,318,17,78,265,16,653,48,280,100,259
20181001,충청남도,44,서울특별시,11,양천구,11470,36,196,5,53,220,10,510,38,172,51,171
20181001,충청남도,44,서울특별시,11,마포구,11440,40,198,10,60,215,16,513,39,175,79,167
20181001,충청남도,44,서울특별시,11,서대문구,11410,28,149,12,38,136,7,363,37,148,42,133
20181001,충청남도,44,서울특별시,11,은평구,11380,30,209,5,60,200,8,526,35,264,87,171
20181001,충청남도,44,서울특별시,11,노원구,11350,44,229,11,49,223,12,546,44,218,52,185
20181001,충청남도,44,서울특별시,11,도봉구,11320,20,119,10,42,155,8,355,30,152,41,113
20181001,충청남도,44,서울특별시,11,강북구,11305,31,105,7,28,135,9,356,29,141,33,91
20181001,충청남도,44,서울특별시,11,성북구,11290,42,224,14,60,202,10,481,40,380,110,180
20181001,충청남도,44,서울특별시,11,중랑구,11260,28,161,9,51,140,8,328,35,179,51,151
20181001,충청남도,44,서울특별시,11,동대문구,11230,25,147,5,41,150,9,371,25,204,73,147
20181001,충청남도,44,서울특별시,11,광진구,11215,29,184,7,42,131,17,409,34,157,53,161
20181001,충청남도,44,서울특별시,11,성동구,11200,25,171,6,45,129,11,409,21,128,103,159
20181001,충청남도,44,서울특별시,11,용산구,11170,31,130,7,92,110,6,288,20,104,37,110
20181001,충청남도,44,서울특별시,11,중구,11140,26,127,8,35,86,8,273,26,161,48,89
20181001,충청남도,44,서울특별시,11,종로구,11110,19,106,9,24,64,13,255,11,95,63,94
20181001,경상남도,48,서울특별시,11,강동구,11740,41,143,3,85,129,22,204,28,110,58,45
20181001,경상남도,48,서울특별시,11,송파구,11710,85,312,7,153,222,43,419,28,237,122,55
20181001,경상남도,48,서울특별시,11,강남구,11680,76,407,14,134,261,48,484,37,238,108,85
20181001,경상남도,48,서울특별시,11,서초구,11650,60,253,3,98,181,34,302,14,130,59,37
20181001,경상남도,48,서울특별시,11,관악구,11620,81,208,6,89,202,45,320,22,162,93,57
20181001,경상남도,48,서울특별시,11,동작구,11590,43,190,9,65,134,25,244,15,149,55,34
20181001,경상남도,48,서울특별시,11,영등포구,11560,34,218,0,120,116,18,276,26,109,61,41
20181001,경상남도,48,서울특별시,11,금천구,11545,33,120,6,77,101,16,138,10,191,67,36
20181001,경상남도,48,서울특별시,11,구로구,11530,46,166,9,80,128,29,251,29,158,55,29
20181001,경상남도,48,서울특별시,11,강서구,11500,71,245,6,101,246,37,345,32,287,99,72
20181001,경상남도,48,서울특별시,11,양천구,11470,45,150,7,70,125,20,270,11,103,66,37
20181001,경상남도,48,서울특별시,11,마포구,11440,52,193,0,73,160,19,271,26,136,63,46
20181001,경상남도,48,서울특별시,11,서대문구,11410,44,130,0,59,103,18,201,9,98,39,37
20181001,경상남도,48,서울특별시,11,은평구,11380,74,169,5,67,142,20,216,23,260,77,42
20181001,경상남도,48,서울특별시,11,노원구,11350,57,199,5,83,143,36,279,24,145,78,44
20181001,경상남도,48,서울특별시,11,도봉구,11320,36,111,0,66,90,16,174,16,131,40,30
20181001,경상남도,48,서울특별시,11,강북구,11305,26,100,0,44,104,14,142,9,79,43,27
20181001,경상남도,48,서울특별시,11,성북구,11290,60,215,5,62,145,26,241,28,366,157,43
20181001,경상남도,48,서울특별시,11,중랑구,11260,49,165,0,61,113,25,188,21,158,62,33
20181001,경상남도,48,서울특별시,11,동대문구,11230,45,180,4,66,135,22,219,17,188,73,46
20181001,경상남도,48,서울특별시,11,광진구,11215,38,152,8,101,120,19,244,12,117,68,28
20181001,경상남도,48,서울특별시,11,성동구,11200,41,133,5,71,99,20,184,17,132,138,40
20181001,경상남도,48,서울특별시,11,용산구,11170,28,121,0,132,94,13,167,13,76,40,23
20181001,경상남도,48,서울특별시,11,중구,11140,23,160,5,64,100,13,156,15,137,68,22
20181001,경상남도,48,서울특별시,11,종로구,11110,30,105,0,38,86,14,137,7,74,83,23
20181001,서울특별시,11,서울특별시,11,강동구,11740,344,2323,368,1924,2048,289,1427,402,3869,1539,1430
20181001,서울특별시,11,서울특별시,11,송파구,11710,699,4375,731,3599,3699,626,2657,668,6643,2672,2741
