"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20180501,제주특별자치도,50,서울특별시,11,영등포구,11560,0,4,0,4,0,0,79,0,3,0,0
20180501,대구광역시,27,서울특별시,11,마포구,11440,36,143,9,47,163,37,261,42,120,57,50
20180501,대구광역시,27,서울특별시,11,서대문구,11410,9,83,7,46,139,21,217,19,86,44,49
20180501,대구광역시,27,서울특별시,11,은평구,11380,37,108,8,39,163,42,247,36,122,65,57
20180501,대구광역시,27,서울특별시,11,노원구,11350,52,130,7,56,161,46,247,51,148,67,80
20180501,대구광역시,27,서울특별시,11,도봉구,11320,23,78,6,46,113,26,157,27,126,47,56
20180501,대구광역시,27,서울특별시,11,강북구,11305,31,75,3,32,109,18,148,34,97,47,39
20180501,대구광역시,27,서울특별시,11,성북구,11290,46,149,13,48,158,40,218,51,207,61,62
20180501,대구광역시,27,서울특별시,11,중랑구,11260,26,107,8,34,129,23,169,30,135,43,52
20180501,대구광역시,27,서울특별시,11,동대문구,11230,40,109,9,49,160,24,195,17,148,68,53
20180501,대구광역시,27,서울특별시,11,광진구,11215,33,135,9,35,128,37,206,37,129,45,69
20180501,대구광역시,27,서울특별시,11,성동구,11200,19,114,10,46,120,27,193,28,118,95,55
20180501,대구광역시,27,서울특별시,11,용산구,11170,15,96,11,78,117,31,138,19,98,42,49
20180501,대구광역시,27,서울특별시,11,중구,11140,29,117,5,27,90,17,167,14,110,46,33
20180501,대구광역시,27,서울특별시,11,종로구,11110,19,90,0,29,73,13,184,20,71,32,27
20180501,경상북도,47,서울특별시,11,동작구,11590,11,26,5,12,58,5,255,7,38,7,36
20180501,경상북도,47,서울특별시,11,영등포구,11560,5,41,5,12,52,12,236,11,37,10,31
20180501,경상북도,47,서울특별시,11,금천구,11545,9,44,4,26,37,14,154,11,59,15,20
20180501,경상북도,47,서울특별시,11,구로구,11530,3,21,9,11,52,5,259,8,53,11,23
20180501,경상북도,47,서울특별시,11,강서구,11500,13,65,11,17,96,14,333,15,73,16,36
20180501,전라북도,45,서울특별시,11,마포구,11440,10,39,4,14,34,0,100,26,49,14,24
20180501,전라북도,45,서울특별시,11,양천구,11470,6,21,0,15,21,3,118,39,37,18,24
20180501,전라북도,45,서울특별시,11,강서구,11500,17,31,0,19,45,7,160,37,70,24,39
20180501,전라북도,45,서울특별시,11,구로구,11530,14,19,0,14,32,0,91,27,49,18,36
20180501,전라북도,45,서울특별시,11,금천구,11545,3,29,0,16,16,4,61,11,41,15,20
20180501,전라북도,45,서울특별시,11,영등포구,11560,11,43,5,15,50,6,112,18,31,7,24
20180501,제주특별자치도,50,서울특별시,11,금천구,11545,0,6,0,0,0,0,32,0,11,3,0
20180501,제주특별자치도,50,서울특별시,11,구로구,11530,0,7,0,0,0,0,33,0,0,0,0
20180501,전라북도,45,서울특별시,11,동작구,11590,5,26,0,9,32,3,128,30,31,15,25
20180501,제주특별자치도,50,서울특별시,11,강서구,11500,0,6,0,0,3,0,50,0,7,0,0
20180501,충청북도,43,서울특별시,11,강북구,11305,0,37,0,4,91,0,72,0,25,12,5
20180501,충청북도,43,서울특별시,11,도봉구,11320,4,47,3,8,78,3,40,12,35,6,3
20180501,충청북도,43,서울특별시,11,노원구,11350,0,110,0,5,120,4,123,5,38,15,3
20180501,경상남도,48,서울특별시,11,양천구,11470,13,46,0,5,33,12,98,5,75,21,29
20180501,경상남도,48,서울특별시,11,강서구,11500,17,60,6,8,49,11,128,17,161,50,46
20180501,경상남도,48,서울특별시,11,구로구,11530,8,36,0,14,33,9,106,12,90,33,13
20180501,경상남도,48,서울특별시,11,금천구,11545,4,39,0,18,29,6,49,9,75,37,10
20180501,경상남도,48,서울특별시,11,영등포구,11560,10,43,6,17,31,14,85,6,74,35,26
20180501,경상남도,48,서울특별시,11,동작구,11590,12,36,0,3,30,12,79,6,76,29,26
20180501,경상남도,48,서울특별시,11,관악구,11620,15,50,12,5,39,9,116,10,111,42,28
20180501,경상남도,48,서울특별시,11,서초구,11650,13,54,5,10,49,11,128,7,81,33,28
20180501,경상남도,48,서울특별시,11,강남구,11680,17,88,4,12,75,6,215,9,124,69,36
20180501,경상남도,48,서울특별시,11,송파구,11710,19,67,3,22,80,11,152,20,122,36,27
20180501,경상남도,48,서울특별시,11,강동구,11740,20,39,0,6,39,6,97,10,67,36,31
20180501,전라북도,45,서울특별시,11,관악구,11620,7,35,0,12,42,0,150,22,69,19,26
20180501,전라북도,45,서울특별시,11,서초구,11650,8,47,0,20,41,4,140,26,42,16,20
20180501,전라북도,45,서울특별시,11,강남구,11680,10,63,0,34,64,6,185,30,75,21,41
20180501,전라북도,45,서울특별시,11,송파구,11710,13,47,4,10,57,0,142,42,72,17,49
20180501,전라북도,45,서울특별시,11,강동구,11740,5,13,0,11,29,0,107,36,38,13,21
20180501,전라남도,46,서울특별시,11,종로구,11110,3,15,0,6,5,0,56,0,11,12,5
20180501,전라남도,46,서울특별시,11,중구,11140,6,23,3,4,7,8,58,3,29,17,3
20180501,전라남도,46,서울특별시,11,용산구,11170,0,12,0,24,21,0,77,0,12,11,14
20180501,전라남도,46,서울특별시,11,성동구,11200,0,25,4,5,11,8,103,0,46,21,0
20180501,전라남도,46,서울특별시,11,광진구,11215,0,10,4,6,17,0,121,0,5,0,5
20180501,전라남도,46,서울특별시,11,동대문구,11230,0,20,0,3,7,4,124,3,40,3,4
20180501,전라남도,46,서울특별시,11,중랑구,11260,4,10,5,6,12,0,104,3,17,10,6
20180501,전라남도,46,서울특별시,11,성북구,11290,0,33,4,4,11,0,109,9,75,27,8
20180501,전라남도,46,서울특별시,11,강북구,11305,0,13,0,0,11,0,88,0,17,0,0
20180501,충청북도,43,서울특별시,11,은평구,11380,7,56,6,0,100,11,94,12,37,15,3
20180501,충청북도,43,서울특별시,11,서대문구,11410,5,46,4,7,66,0,86,0,34,11,4
20180501,충청북도,43,서울특별시,11,마포구,11440,3,79,7,6,119,5,98,14,56,20,4
20180501,충청북도,43,서울특별시,11,양천구,11470,4,44,7,6,108,0,109,10,40,13,12
20180501,충청북도,43,서울특별시,11,강서구,11500,3,85,7,10,164,7,128,13,102,20,8
20180501,충청북도,43,서울특별시,11,구로구,11530,4,59,3,12,106,7,71,10,42,10,8
20180501,충청북도,43,서울특별시,11,금천구,11545,0,55,0,19,60,3,43,6,36,18,9
20180501,충청북도,43,서울특별시,11,영등포구,11560,8,56,11,14,93,0,123,9,39,6,14
20180501,충청북도,43,서울특별시,11,동작구,11590,0,89,11,0,86,0,95,5,35,6,12
