"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20211201,대전광역시,30,서울특별시,11,서초구,11650,36,116,28,43,281,37,563,26,68,53,146
20211201,대전광역시,30,서울특별시,11,관악구,11620,16,88,10,35,252,23,499,24,70,57,182
20211201,대전광역시,30,서울특별시,11,동작구,11590,22,71,20,39,180,15,470,28,42,40,137
20211201,대전광역시,30,서울특별시,11,영등포구,11560,16,117,11,38,219,29,438,22,61,55,209
20211201,대전광역시,30,서울특별시,11,금천구,11545,11,105,10,54,142,20,353,14,106,41,82
20211201,대전광역시,30,서울특별시,11,구로구,11530,35,96,20,39,216,18,351,30,79,29,133
20211201,대전광역시,30,서울특별시,11,강서구,11500,35,158,25,65,348,32,573,45,138,69,439
20211201,대전광역시,30,서울특별시,11,강동구,11740,26,103,24,37,260,21,382,40,53,46,143
20211201,경상남도,48,서울특별시,11,강동구,11740,26,106,5,51,207,35,397,25,113,70,32
20211201,경상남도,48,서울특별시,11,송파구,11710,50,193,25,60,316,55,573,37,184,104,56
20211201,경상남도,48,서울특별시,11,강남구,11680,46,239,23,95,308,55,698,36,233,101,65
20211201,경상남도,48,서울특별시,11,서초구,11650,32,115,11,50,252,39,460,23,126,64,42
20211201,경상남도,48,서울특별시,11,관악구,11620,33,116,9,37,160,39,410,16,111,79,45
20211201,경상남도,48,서울특별시,11,동작구,11590,22,107,9,38,132,19,372,26,101,43,31
20211201,경상남도,48,서울특별시,11,영등포구,11560,32,139,12,44,186,34,368,27,105,53,39
20211201,경상남도,48,서울특별시,11,금천구,11545,27,146,12,74,105,31,184,16,178,85,19
20211201,경상남도,48,서울특별시,11,구로구,11530,31,94,13,46,198,38,314,23,148,53,34
20211201,경상남도,48,서울특별시,11,강서구,11500,53,168,9,61,255,56,493,34,215,71,56
20211201,경상남도,48,서울특별시,11,양천구,11470,29,93,5,30,173,37,381,22,98,53,31
20211201,경상남도,48,서울특별시,11,마포구,11440,36,134,15,56,219,40,398,25,121,69,30
20211201,경상남도,48,서울특별시,11,서대문구,11410,16,94,7,48,145,28,298,22,93,56,18
20211201,경상남도,48,서울특별시,11,은평구,11380,43,94,9,27,164,39,395,20,123,61,34
20211201,경상남도,48,서울특별시,11,노원구,11350,27,110,8,30,192,36,433,21,176,67,27
20211201,경상남도,48,서울특별시,11,도봉구,11320,19,65,6,31,108,37,238,8,87,33,26
20211201,경상남도,48,서울특별시,11,강북구,11305,23,69,6,18,107,26,235,10,91,42,14
20211201,경상남도,48,서울특별시,11,성북구,11290,25,105,20,40,188,31,372,35,221,94,32
20211201,경상남도,48,서울특별시,11,중랑구,11260,24,97,12,43,167,34,288,16,98,58,21
20211201,경상남도,48,서울특별시,11,동대문구,11230,20,125,7,28,149,26,269,19,137,29,28
20211201,경상남도,48,서울특별시,11,광진구,11215,19,96,4,33,136,30,302,20,96,51,32
20211201,경상남도,48,서울특별시,11,성동구,11200,16,152,9,42,126,29,290,27,176,134,18
20211201,경상남도,48,서울특별시,11,용산구,11170,19,68,5,73,98,24,243,9,82,46,21
20211201,경상남도,48,서울특별시,11,중구,11140,13,71,10,21,102,12,153,18,102,44,14
20211201,경상남도,48,서울특별시,11,종로구,11110,9,57,4,31,86,15,166,5,60,31,23
20211201,충청남도,44,서울특별시,11,강동구,11740,48,103,15,47,228,12,404,39,251,59,43
20211201,충청남도,44,서울특별시,11,송파구,11710,76,178,19,92,369,13,570,39,401,77,94
20211201,충청남도,44,서울특별시,11,강남구,11680,47,209,32,98,399,16,695,23,331,76,106
20211201,충청남도,44,서울특별시,11,서초구,11650,39,124,14,48,293,12,475,27,231,67,56
20211201,충청남도,44,서울특별시,11,관악구,11620,54,104,22,56,233,5,519,19,369,94,87
20211201,충청남도,44,서울특별시,11,동작구,11590,31,75,9,55,215,4,351,18,274,56,61
20211201,충청남도,44,서울특별시,11,영등포구,11560,51,125,8,51,218,6,390,26,255,73,91
20211201,충청남도,44,서울특별시,11,금천구,11545,13,113,14,52,144,5,231,14,228,64,43
20211201,충청남도,44,서울특별시,11,구로구,11530,45,78,9,54,204,5,422,28,300,58,61
20211201,충청남도,44,서울특별시,11,강서구,11500,49,161,33,91,349,17,547,43,428,101,84
20211201,충청남도,44,서울특별시,11,양천구,11470,47,89,13,52,211,8,394,18,269,53,62
20211201,충청남도,44,서울특별시,11,마포구,11440,56,133,10,66,232,12,428,27,267,63,64
20211201,충청남도,44,서울특별시,11,서대문구,11410,31,71,8,36,178,7,252,17,242,48,42
20211201,충청남도,44,서울특별시,11,은평구,11380,36,83,24,65,220,10,413,20,304,51,79
20211201,충청남도,44,서울특별시,11,노원구,11350,41,111,21,59,259,11,427,26,337,47,90
20211201,충청남도,44,서울특별시,11,도봉구,11320,27,55,9,30,157,5,289,13,175,39,41
20211201,충청남도,44,서울특별시,11,강북구,11305,22,57,16,18,131,5,299,11,185,24,40
20211201,충청남도,44,서울특별시,11,성북구,11290,45,122,21,44,249,9,405,29,345,67,54
20211201,충청남도,44,서울특별시,11,중랑구,11260,40,68,18,24,197,5,320,8,207,42,47
20211201,충청남도,44,서울특별시,11,동대문구,11230,29,88,10,40,168,5,302,17,232,62,53
20211201,충청남도,44,서울특별시,11,광진구,11215,27,80,8,62,192,5,307,18,237,54,52
20211201,충청남도,44,서울특별시,11,성동구,11200,29,127,24,36,143,10,299,24,247,110,46
20211201,충청남도,44,서울특별시,11,용산구,11170,20,62,8,62,141,9,241,6,137,36,33
20211201,충청남도,44,서울특별시,11,중구,11140,19,133,6,31,122,4,241,11,179,52,25
20211201,충청남도,44,서울특별시,11,종로구,11110,25,40,10,29,91,0,193,4,121,36,25
20211201,대전광역시,30,서울특별시,11,양천구,11470,33,84,19,29,167,27,318,26,57,48,146
20211201,대전광역시,30,서울특별시,11,마포구,11440,27,107,21,37,258,17,554,23,58,48,137
20211201,대전광역시,30,서울특별시,11,서대문구,11410,15,80,12,32,150,20,499,16,27,36,112
20211201,대전광역시,30,서울특별시,11,은평구,11380,32,71,14,35,223,20,418,29,45,35,150
20211201,대전광역시,30,서울특별시,11,노원구,11350,39,104,26,52,298,23,436,30,89,60,176
