"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20210901,대전광역시,30,서울특별시,11,중구,11140,11,62,27,30,103,7,438,0,39,41,47
20210901,울산광역시,31,서울특별시,11,강동구,11740,0,29,10,15,29,6,35,6,30,11,3
20210901,울산광역시,31,서울특별시,11,송파구,11710,5,33,13,10,60,6,79,7,59,28,0
20210901,울산광역시,31,서울특별시,11,강남구,11680,9,56,11,13,58,10,63,3,76,18,9
20210901,울산광역시,31,서울특별시,11,서초구,11650,0,39,12,8,38,15,40,3,38,20,4
20210901,울산광역시,31,서울특별시,11,관악구,11620,0,37,9,6,32,5,43,3,35,15,6
20210901,울산광역시,31,서울특별시,11,동작구,11590,3,24,5,6,35,6,57,3,40,14,3
20210901,울산광역시,31,서울특별시,11,영등포구,11560,0,38,13,9,45,4,35,7,33,18,8
20210901,울산광역시,31,서울특별시,11,금천구,11545,0,119,8,14,31,7,16,4,41,53,3
20210901,울산광역시,31,서울특별시,11,구로구,11530,0,19,5,12,26,10,34,5,19,14,4
20210901,울산광역시,31,서울특별시,11,강서구,11500,8,30,4,15,45,10,54,8,64,25,15
20210901,울산광역시,31,서울특별시,11,양천구,11470,5,27,4,4,33,7,32,7,35,15,9
20210901,울산광역시,31,서울특별시,11,마포구,11440,3,37,16,9,37,4,46,4,47,20,0
20210901,울산광역시,31,서울특별시,11,서대문구,11410,4,22,10,5,17,3,23,3,14,9,6
20210901,울산광역시,31,서울특별시,11,은평구,11380,0,29,7,3,24,4,46,4,30,18,3
20210901,울산광역시,31,서울특별시,11,노원구,11350,4,31,8,8,43,7,41,11,38,11,3
20210901,울산광역시,31,서울특별시,11,도봉구,11320,3,9,6,4,16,6,19,4,27,6,5
20210901,울산광역시,31,서울특별시,11,강북구,11305,0,16,4,0,25,3,31,4,20,7,4
20210901,울산광역시,31,서울특별시,11,성북구,11290,3,23,8,6,26,6,31,5,51,22,0
20210901,울산광역시,31,서울특별시,11,중랑구,11260,0,25,3,4,20,0,28,5,35,9,4
20210901,울산광역시,31,서울특별시,11,동대문구,11230,0,33,9,4,29,0,31,0,38,18,3
20210901,울산광역시,31,서울특별시,11,광진구,11215,3,22,6,9,26,5,23,0,31,12,10
20210901,울산광역시,31,서울특별시,11,성동구,11200,0,40,24,6,26,10,24,5,70,57,4
20210901,울산광역시,31,서울특별시,11,용산구,11170,3,23,6,33,18,5,30,0,16,9,0
20210901,울산광역시,31,서울특별시,11,중구,11140,5,30,8,3,15,0,27,5,30,14,5
20210901,울산광역시,31,서울특별시,11,종로구,11110,3,16,5,3,11,5,15,6,13,9,0
20210901,서울특별시,11,서울특별시,11,종로구,11110,125,1007,382,604,860,103,712,89,909,414,313
20210901,서울특별시,11,서울특별시,11,중구,11140,140,1311,405,734,967,97,807,92,1173,608,385
20210901,서울특별시,11,서울특별시,11,용산구,11170,173,1275,416,1247,1030,156,1178,110,1243,543,496
20210901,서울특별시,11,서울특별시,11,성동구,11200,218,1840,665,917,1086,164,1116,216,2371,1111,646
20210901,서울특별시,11,서울특별시,11,광진구,11215,215,1348,459,1078,1150,185,1127,176,1915,748,621
20210901,서울특별시,11,서울특별시,11,동대문구,11230,212,1545,503,919,1141,156,1046,168,1832,728,692
20210901,서울특별시,11,서울특별시,11,중랑구,11260,193,1295,306,807,1088,189,1044,163,1650,610,518
20210901,서울특별시,11,서울특별시,11,성북구,11290,256,1512,689,1095,1511,195,1592,244,2253,890,895
