"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20210201,제주특별자치도,50,서울특별시,11,송파구,11710,0,21,0,3,8,0,2182,5,9,5,0
20210201,제주특별자치도,50,서울특별시,11,강동구,11740,0,21,0,0,6,0,1171,0,5,3,0
20210201,부산광역시,26,서울특별시,11,중구,11140,39,232,34,85,232,30,565,24,174,96,80
20210201,부산광역시,26,서울특별시,11,종로구,11110,31,188,24,76,212,28,559,19,169,74,57
20210201,경상남도,48,서울특별시,11,종로구,11110,23,116,7,56,141,17,358,3,35,14,20
20210201,경상남도,48,서울특별시,11,중구,11140,31,94,25,59,117,16,311,5,54,22,20
20210201,경상남도,48,서울특별시,11,용산구,11170,36,102,14,113,198,14,538,21,56,37,29
20210201,경상남도,48,서울특별시,11,성동구,11200,48,168,44,128,231,35,591,12,91,59,32
20210201,경상남도,48,서울특별시,11,광진구,11215,37,148,32,127,251,41,553,11,65,45,38
20210201,경상남도,48,서울특별시,11,동대문구,11230,27,165,36,103,219,40,566,10,83,40,27
20210201,경상남도,48,서울특별시,11,중랑구,11260,52,168,14,134,221,33,502,22,80,28,30
20210201,경상남도,48,서울특별시,11,성북구,11290,40,190,29,149,266,28,663,22,100,52,56
20210201,경상남도,48,서울특별시,11,강북구,11305,29,132,21,96,171,34,383,4,67,32,45
20210201,경상남도,48,서울특별시,11,도봉구,11320,33,134,15,113,209,28,469,10,58,32,44
20210201,경상북도,47,서울특별시,11,도봉구,11320,16,66,18,23,131,7,745,16,19,26,180
20210201,경상북도,47,서울특별시,11,노원구,11350,21,103,35,46,191,9,1271,18,27,28,306
20210201,경상북도,47,서울특별시,11,은평구,11380,24,107,24,24,194,7,1121,19,30,35,305
20210201,경상북도,47,서울특별시,11,서대문구,11410,11,84,19,17,139,9,808,18,38,27,212
20210201,경상북도,47,서울특별시,11,마포구,11440,30,136,34,30,210,11,1267,26,41,38,270
20210201,경상북도,47,서울특별시,11,양천구,11470,17,107,27,29,162,14,1093,25,45,32,271
20210201,경상북도,47,서울특별시,11,강서구,11500,29,163,41,41,242,17,1487,27,59,48,510
20210201,경상북도,47,서울특별시,11,구로구,11530,21,98,29,33,189,11,959,19,37,33,306
20210201,경상북도,47,서울특별시,11,금천구,11545,10,67,8,28,115,7,579,11,18,19,163
20210201,경상북도,47,서울특별시,11,영등포구,11560,15,107,32,35,211,6,1156,28,28,25,317
20210201,경상북도,47,서울특별시,11,동작구,11590,18,94,15,29,156,5,1030,29,38,26,307
20210201,경상북도,47,서울특별시,11,관악구,11620,27,101,24,35,201,9,1190,33,46,32,385
20210201,경상북도,47,서울특별시,11,서초구,11650,36,142,37,34,276,16,1528,36,49,30,309
20210201,경상북도,47,서울특별시,11,강남구,11680,46,189,66,64,354,20,2192,35,55,44,382
20210201,경상북도,47,서울특별시,11,송파구,11710,36,167,52,47,325,9,1980,41,77,52,456
20210201,경상북도,47,서울특별시,11,강동구,11740,25,100,46,30,168,15,1103,25,43,48,294
20210201,전라남도,46,서울특별시,11,성북구,11290,3,40,20,17,69,7,1071,3,16,6,24
20210201,전라남도,46,서울특별시,11,중랑구,11260,4,43,5,16,60,5,821,3,12,3,24
20210201,전라남도,46,서울특별시,11,동대문구,11230,0,35,7,19,45,9,760,6,13,0,26
20210201,전라남도,46,서울특별시,11,광진구,11215,6,34,12,15,51,5,859,3,16,7,19
20210201,전라남도,46,서울특별시,11,성동구,11200,0,42,7,11,42,7,722,3,14,11,12
20210201,전라남도,46,서울특별시,11,용산구,11170,0,36,18,20,37,4,697,4,8,9,12
20210201,전라남도,46,서울특별시,11,중구,11140,7,39,10,11,34,12,519,4,28,6,6
20210201,경기도,41,서울특별시,11,강동구,11740,1553,3798,2109,1963,7512,598,9500,1100,3594,1553,4312
20210201,경기도,41,서울특별시,11,송파구,11710,2588,6696,3656,3258,12228,1005,16540,1632,5801,2544,7105
20210201,경기도,41,서울특별시,11,강남구,11680,2479,7872,5042,3465,13124,1063,18200,1331,6019,2604,7686
20210201,경기도,41,서울특별시,11,서초구,11650,1611,5395,3304,2348,9092,747,12967,1126,4145,1798,5089
20210201,경기도,41,서울특별시,11,관악구,11620,1858,4205,2219,2308,8819,660,10503,841,4115,1869,5006
20210201,경기도,41,서울특별시,11,동작구,11590,1217,3383,2622,1737,6635,473,8633,820,3223,1464,3779
20210201,경기도,41,서울특별시,11,영등포구,11560,1449,4250,2543,2066,7957,643,10258,998,3596,1555,4362
20210201,경기도,41,서울특별시,11,금천구,11545,705,2036,1078,1226,4341,313,5600,467,1884,891,2951
20210201,경기도,41,서울특별시,11,구로구,11530,1204,3384,2020,1820,6960,503,9297,932,3017,1331,3997
20210201,경기도,41,서울특별시,11,강서구,11500,1949,5014,3192,2805,10508,804,12913,1342,4883,2082,6420
20210201,경기도,41,서울특별시,11,양천구,11470,1223,3460,2416,1825,7057,550,9631,915,3435,1446,3920
20210201,경기도,41,서울특별시,11,마포구,11440,1590,4271,2395,2157,7949,667,10410,897,3689,1631,4335
20210201,경기도,41,서울특별시,11,서대문구,11410,969,2878,1713,1426,5474,494,6905,735,2529,1090,3083
20210201,경기도,41,서울특별시,11,은평구,11380,1285,3516,1768,1878,7648,601,9309,927,3285,1472,4171
20210201,경기도,41,서울특별시,11,노원구,11350,1523,4085,2307,1961,7886,556,10153,1057,4036,1632,4408
20210201,경기도,41,서울특별시,11,도봉구,11320,954,2158,1054,1155,4693,361,5971,555,2230,945,2686
20210201,경기도,41,서울특별시,11,강북구,11305,785,2022,975,1110,4434,367,5697,503,1978,945,2425
20210201,경기도,41,서울특별시,11,성북구,11290,1387,3610,2274,1752,7004,556,9228,919,3496,1365,3981
20210201,경기도,41,서울특별시,11,중랑구,11260,1085,2714,1210,1432,5715,429,7177,744,2648,1098,3333
20210201,경기도,41,서울특별시,11,동대문구,11230,1104,3294,1460,1530,5672,417,7410,704,2707,1239,3351
20210201,경기도,41,서울특별시,11,광진구,11215,1317,3136,1590,1619,6016,482,7590,691,3002,1373,3662
20210201,경기도,41,서울특별시,11,성동구,11200,1064,3074,1606,1422,5466,474,7093,779,2883,1256,2938
20210201,경기도,41,서울특별시,11,용산구,11170,863,2989,1707,1520,4753,396,10595,520,2139,940,2404
20210201,경기도,41,서울특별시,11,중구,11140,550,2398,1525,980,3422,290,5275,368,1673,1077,1931
