"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20210601,전라남도,46,서울특별시,11,동작구,11590,4,19,0,9,24,0,314,0,17,4,9
20210601,전라남도,46,서울특별시,11,동대문구,11230,0,21,4,9,25,0,265,0,5,5,9
20210601,전라남도,46,서울특별시,11,중랑구,11260,4,16,0,14,18,3,273,0,15,8,11
20210601,서울특별시,11,서울특별시,11,강남구,11680,540,4994,1381,2378,3323,495,3620,376,5977,2270,1826
20210601,서울특별시,11,서울특별시,11,송파구,11710,468,3478,1103,1815,2707,447,3088,477,5312,1726,1342
20210601,서울특별시,11,서울특별시,11,강동구,11740,312,1917,585,966,1648,242,1837,291,3217,1003,774
20210601,충청남도,44,서울특별시,11,강동구,11740,30,115,13,62,173,6,318,31,87,67,44
20210601,충청남도,44,서울특별시,11,송파구,11710,49,179,36,107,223,18,496,46,148,87,80
20210601,충청남도,44,서울특별시,11,강남구,11680,42,177,36,93,358,13,606,29,151,85,91
20210601,충청남도,44,서울특별시,11,서초구,11650,23,133,23,49,183,9,399,23,108,48,69
20210601,충청남도,44,서울특별시,11,관악구,11620,30,120,22,51,148,10,386,19,103,71,69
20210601,충청남도,44,서울특별시,11,동작구,11590,20,94,16,40,141,7,299,19,67,43,47
20210601,충청남도,44,서울특별시,11,영등포구,11560,35,134,17,54,155,5,336,23,89,50,50
20210601,충청남도,44,서울특별시,11,금천구,11545,13,105,16,45,100,4,198,13,66,35,35
20210601,충청남도,44,서울특별시,11,구로구,11530,18,107,10,59,181,13,329,10,91,32,53
20210601,충청남도,44,서울특별시,11,강서구,11500,35,169,23,77,206,10,395,29,139,72,75
20210601,충청남도,44,서울특별시,11,양천구,11470,27,83,19,47,124,11,299,29,105,48,39
20210601,충청남도,44,서울특별시,11,마포구,11440,22,115,27,44,129,7,376,20,97,40,41
20210601,충청남도,44,서울특별시,11,서대문구,11410,23,79,17,36,101,3,251,12,63,42,33
20210601,충청남도,44,서울특별시,11,은평구,11380,24,121,5,47,151,8,341,23,92,39,43
20210601,충청남도,44,서울특별시,11,노원구,11350,27,107,16,66,135,11,348,21,99,57,48
20210601,충청남도,44,서울특별시,11,도봉구,11320,25,83,14,27,72,8,243,17,65,29,26
20210601,충청남도,44,서울특별시,11,강북구,11305,12,60,9,42,99,3,217,13,57,38,19
20210601,충청남도,44,서울특별시,11,성북구,11290,22,98,16,50,129,4,331,28,98,43,45
20210601,충청남도,44,서울특별시,11,중랑구,11260,18,97,19,46,109,10,299,15,65,41,30
20210601,충청남도,44,서울특별시,11,동대문구,11230,25,107,16,48,115,8,338,20,186,79,45
20210601,충청남도,44,서울특별시,11,광진구,11215,29,66,14,38,99,8,226,18,74,41,57
20210601,충청남도,44,서울특별시,11,성동구,11200,18,102,32,30,101,8,245,17,90,61,30
20210601,충청남도,44,서울특별시,11,용산구,11170,16,59,14,45,110,7,232,17,56,21,30
20210601,충청남도,44,서울특별시,11,중구,11140,9,62,16,27,67,4,178,3,47,25,21
20210601,대전광역시,30,서울특별시,11,구로구,11530,16,64,16,36,215,13,1150,24,49,18,165
20210601,대전광역시,30,서울특별시,11,금천구,11545,7,74,7,35,152,8,738,6,25,16,95
20210601,대전광역시,30,서울특별시,11,영등포구,11560,19,92,10,48,248,21,1150,14,52,36,256
20210601,대전광역시,30,서울특별시,11,동작구,11590,16,91,10,34,218,15,1070,19,50,31,138
20210601,대전광역시,30,서울특별시,11,관악구,11620,27,87,26,64,283,16,1670,14,58,29,223
20210601,대전광역시,30,서울특별시,11,서초구,11650,21,102,13,45,248,12,1367,18,36,43,144
20210601,대전광역시,30,서울특별시,11,강남구,11680,16,172,27,73,401,32,2111,24,89,38,207
20210601,대전광역시,30,서울특별시,11,송파구,11710,29,119,29,65,408,24,1977,34,94,41,302
20210601,대전광역시,30,서울특별시,11,강동구,11740,13,103,15,50,222,18,1298,22,74,45,176
20210601,전라남도,46,서울특별시,11,성북구,11290,0,22,6,15,23,0,310,0,9,9,12
20210601,전라남도,46,서울특별시,11,강북구,11305,0,13,7,6,16,0,217,0,9,6,4
20210601,충청남도,44,서울특별시,11,종로구,11110,9,36,14,23,59,3,195,5,34,18,21
20210601,전라남도,46,서울특별시,11,강동구,11740,0,17,10,15,28,0,358,0,22,9,11
20210601,전라남도,46,서울특별시,11,송파구,11710,4,41,9,24,41,6,543,0,15,13,14
20210601,전라남도,46,서울특별시,11,강남구,11680,4,38,11,19,68,7,573,0,22,9,16
20210601,전라남도,46,서울특별시,11,서초구,11650,6,34,6,18,49,4,352,6,17,9,13
20210601,전라남도,46,서울특별시,11,관악구,11620,0,21,3,12,32,0,379,3,23,10,19
20210601,전라남도,46,서울특별시,11,영등포구,11560,0,27,6,14,50,0,331,0,17,7,10
20210601,전라남도,46,서울특별시,11,금천구,11545,0,6,6,6,18,0,181,0,6,0,4
20210601,전라남도,46,서울특별시,11,구로구,11530,0,17,4,15,36,0,360,0,16,7,8
20210601,전라남도,46,서울특별시,11,강서구,11500,0,31,8,12,46,4,487,0,24,13,16
20210601,전라남도,46,서울특별시,11,양천구,11470,0,16,3,8,34,0,367,0,4,6,7
