"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20211101,대구광역시,27,서울특별시,11,강동구,11740,189,335,16,88,497,66,422,74,436,154,196
20211101,부산광역시,26,서울특별시,11,종로구,11110,48,168,28,46,152,42,455,13,247,115,52
20211101,충청남도,44,서울특별시,11,종로구,11110,31,89,14,40,99,4,302,6,118,22,45
20211101,충청남도,44,서울특별시,11,중구,11140,21,75,13,59,129,7,306,10,146,77,60
20211101,충청남도,44,서울특별시,11,용산구,11170,30,92,16,64,152,17,419,9,111,47,73
20211101,충청남도,44,서울특별시,11,성동구,11200,33,143,27,66,183,26,499,19,216,143,108
20211101,충청남도,44,서울특별시,11,광진구,11215,32,138,22,56,199,11,538,13,166,75,146
20211101,충청남도,44,서울특별시,11,동대문구,11230,42,161,14,74,181,15,555,29,203,66,110
20211101,충청남도,44,서울특별시,11,중랑구,11260,25,133,18,58,199,11,576,21,177,74,133
20211101,충청남도,44,서울특별시,11,성북구,11290,41,192,31,103,247,18,643,22,281,85,159
20211101,충청남도,44,서울특별시,11,강북구,11305,21,76,14,39,146,18,403,16,167,39,93
20211101,충청남도,44,서울특별시,11,도봉구,11320,28,73,16,35,151,14,430,18,135,58,116
20211101,충청남도,44,서울특별시,11,노원구,11350,39,171,34,54,292,21,763,24,331,99,172
20211101,충청남도,44,서울특별시,11,은평구,11380,49,162,23,90,247,8,707,31,222,84,188
20211101,충청남도,44,서울특별시,11,서대문구,11410,48,135,23,40,160,8,518,26,164,70,117
20211101,충청남도,44,서울특별시,11,마포구,11440,49,186,31,90,285,18,636,21,223,76,157
20211101,충청남도,44,서울특별시,11,양천구,11470,36,145,25,80,237,16,677,20,209,70,169
20211101,충청남도,44,서울특별시,11,강서구,11500,58,244,35,120,382,24,895,46,376,117,256
20211101,충청남도,44,서울특별시,11,구로구,11530,48,183,21,89,234,19,612,26,233,65,166
20211101,충청남도,44,서울특별시,11,금천구,11545,29,175,9,90,162,13,367,18,197,86,109
20211101,충청남도,44,서울특별시,11,영등포구,11560,45,163,58,89,232,20,644,32,213,76,168
20211101,충청남도,44,서울특별시,11,동작구,11590,44,159,23,85,228,8,564,23,186,73,149
20211101,충청남도,44,서울특별시,11,관악구,11620,66,189,30,82,271,14,778,29,303,107,214
20211101,충청남도,44,서울특별시,11,서초구,11650,47,209,36,99,321,28,709,38,213,72,169
20211101,충청남도,44,서울특별시,11,강남구,11680,68,264,56,102,429,37,1082,27,293,124,226
20211101,충청남도,44,서울특별시,11,송파구,11710,73,238,42,120,403,38,1047,39,316,107,280
20211101,충청남도,44,서울특별시,11,강동구,11740,48,153,19,58,252,16,620,34,229,81,183
20211101,부산광역시,26,서울특별시,11,중구,11140,38,236,31,62,171,44,403,17,340,135,75
20211101,부산광역시,26,서울특별시,11,용산구,11170,53,253,19,111,252,35,559,26,334,159,95
20211101,부산광역시,26,서울특별시,11,성동구,11200,61,422,56,67,261,55,591,35,580,400,124
20211101,부산광역시,26,서울특별시,11,광진구,11215,49,321,33,98,307,66,666,35,552,252,129
20211101,부산광역시,26,서울특별시,11,동대문구,11230,60,319,26,78,298,60,606,36,561,243,151
20211101,부산광역시,26,서울특별시,11,중랑구,11260,59,292,26,75,293,74,675,25,480,244,151
20211101,부산광역시,26,서울특별시,11,성북구,11290,72,378,30,82,340,62,846,53,693,297,172
20211101,부산광역시,26,서울특별시,11,강북구,11305,43,186,16,69,236,72,554,17,399,157,102
20211101,부산광역시,26,서울특별시,11,도봉구,11320,39,274,21,57,240,57,612,42,396,208,121
20211101,부산광역시,26,서울특별시,11,노원구,11350,65,406,26,90,406,70,933,71,714,313,185
20211101,부산광역시,26,서울특별시,11,은평구,11380,72,369,25,64,347,82,931,48,564,307,178
20211101,부산광역시,26,서울특별시,11,서대문구,11410,44,296,28,87,263,60,649,34,421,207,112
