"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20190701,경기도,41,서울특별시,11,마포구,11440,1216,3778,1593,1867,5173,634,4871,797,4510,1765,2793
20190701,경기도,41,서울특별시,11,양천구,11470,853,3250,1344,1613,4469,590,4174,724,4464,1626,2681
20190701,경기도,41,서울특별시,11,강서구,11500,1364,4707,1596,2371,6862,805,6529,1244,6146,2575,4089
20190701,경기도,41,서울특별시,11,구로구,11530,880,3055,1115,1750,4474,509,4212,846,4060,1605,2654
20190701,경기도,41,서울특별시,11,금천구,11545,548,1943,594,1249,2839,342,2808,410,2590,1015,1676
20190701,경기도,41,서울특별시,11,영등포구,11560,925,3390,1497,1830,4649,547,4589,766,4336,1685,3094
20190701,경기도,41,서울특별시,11,동작구,11590,1035,2924,1599,1607,4451,510,4405,758,4225,1559,2685
20190701,경기도,41,서울특별시,11,관악구,11620,1316,3768,1746,2166,5763,659,5661,777,5342,2136,3458
20190701,경기도,41,서울특별시,11,서초구,11650,1231,4716,2147,2331,5837,796,5572,957,5222,1996,3188
20190701,경기도,41,서울특별시,11,강남구,11680,1993,7431,3019,3267,9125,1114,8796,1094,7529,2860,6526
20190701,경기도,41,서울특별시,11,송파구,11710,1681,5561,2327,3040,8012,971,7282,1449,7604,2598,4709
20190701,경기도,41,서울특별시,11,강동구,11740,856,2693,1078,1572,4216,520,3991,757,4104,1511,2632
20190701,강원도,42,서울특별시,11,강동구,11740,3,43,7,18,30,22,380,18,34,22,44
20190701,강원도,42,서울특별시,11,송파구,11710,12,70,13,27,74,41,693,36,60,26,47
20190701,강원도,42,서울특별시,11,강남구,11680,22,110,14,19,86,24,670,13,66,29,70
20190701,강원도,42,서울특별시,11,서초구,11650,6,64,12,23,52,21,505,37,33,21,40
20190701,강원도,42,서울특별시,11,관악구,11620,12,85,10,13,58,31,487,30,64,26,73
20190701,강원도,42,서울특별시,11,동작구,11590,7,39,7,11,61,13,390,21,42,21,38
20190701,강원도,42,서울특별시,11,영등포구,11560,9,46,5,27,41,17,339,37,37,24,51
20190701,강원도,42,서울특별시,11,금천구,11545,4,33,8,16,26,15,214,20,31,20,29
20190701,강원도,42,서울특별시,11,구로구,11530,4,51,5,13,28,20,379,24,43,23,32
20190701,강원도,42,서울특별시,11,강서구,11500,8,67,13,18,62,35,496,38,51,44,81
20190701,강원도,42,서울특별시,11,양천구,11470,8,37,3,12,35,23,393,24,42,20,35
20190701,강원도,42,서울특별시,11,마포구,11440,14,48,6,16,43,15,420,29,34,22,42
20190701,강원도,42,서울특별시,11,서대문구,11410,4,33,6,13,31,11,321,23,38,16,29
20190701,강원도,42,서울특별시,11,은평구,11380,10,45,7,14,47,33,423,20,50,38,41
20190701,강원도,42,서울특별시,11,노원구,11350,0,55,5,14,39,28,441,42,44,22,51
20190701,강원도,42,서울특별시,11,도봉구,11320,3,23,8,4,35,19,279,11,21,20,26
20190701,강원도,42,서울특별시,11,강북구,11305,5,34,4,19,23,13,289,13,34,21,26
20190701,강원도,42,서울특별시,11,성북구,11290,8,51,7,16,45,19,422,40,115,50,31
20190701,강원도,42,서울특별시,11,중랑구,11260,6,34,8,7,33,15,408,20,45,12,43
20190701,강원도,42,서울특별시,11,동대문구,11230,6,37,0,17,45,21,297,17,61,17,48
20190701,강원도,42,서울특별시,11,광진구,11215,5,38,7,15,35,17,343,20,23,19,35
20190701,강원도,42,서울특별시,11,성동구,11200,7,40,5,9,36,17,346,16,39,26,17
20190701,강원도,42,서울특별시,11,용산구,11170,6,44,7,62,32,10,223,12,30,22,16
20190701,강원도,42,서울특별시,11,중구,11140,0,62,0,5,25,7,206,14,40,22,22
20190701,강원도,42,서울특별시,11,종로구,11110,0,23,5,10,17,4,204,10,32,19,19
20190701,충청남도,44,서울특별시,11,강동구,11740,14,191,19,36,134,10,514,18,122,61,113
20190701,충청남도,44,서울특별시,11,송파구,11710,35,360,36,53,181,21,913,32,225,113,200
20190701,인천광역시,28,서울특별시,11,송파구,11710,249,535,71,531,879,107,507,179,770,401,513
20190701,인천광역시,28,서울특별시,11,강남구,11680,220,754,97,608,1012,83,674,141,756,469,590
20190701,인천광역시,28,서울특별시,11,서초구,11650,167,431,65,380,661,56,469,108,508,292,399
20190701,인천광역시,28,서울특별시,11,관악구,11620,195,424,57,355,645,81,448,110,546,278,422
20190701,인천광역시,28,서울특별시,11,동작구,11590,141,470,41,308,438,53,353,81,428,234,323
20190701,인천광역시,28,서울특별시,11,영등포구,11560,131,347,62,388,543,51,375,95,451,228,317
20190701,인천광역시,28,서울특별시,11,금천구,11545,92,218,30,228,352,41,209,50,304,168,219
20190701,인천광역시,28,서울특별시,11,구로구,11530,143,643,48,313,480,56,289,99,435,203,278
20190701,인천광역시,28,서울특별시,11,강서구,11500,196,527,91,438,730,96,468,136,634,373,490
20190701,부산광역시,26,서울특별시,11,광진구,11215,38,301,16,112,246,38,411,24,394,335,145
20190701,인천광역시,28,서울특별시,11,양천구,11470,126,288,43,306,474,71,328,97,440,230,325
20190701,인천광역시,28,서울특별시,11,마포구,11440,167,352,62,306,609,65,328,83,469,299,326
20190701,인천광역시,28,서울특별시,11,서대문구,11410,90,264,34,215,396,36,275,69,349,170,251
20190701,인천광역시,28,서울특별시,11,은평구,11380,158,238,59,305,503,54,365,74,498,213,337
20190701,인천광역시,28,서울특별시,11,노원구,11350,138,310,55,343,543,53,371,106,493,231,346
20190701,인천광역시,28,서울특별시,11,도봉구,11320,100,176,28,179,356,49,213,51,321,136,193
20190701,인천광역시,28,서울특별시,11,강북구,11305,74,160,18,197,291,28,199,36,336,152,217
