"배송년월일","송하인_시명","송하인_시코드","수하인_시명","수하인_시코드","수하인_구명","수하인_구코드","대분류_착지물동량 가구/인테리어","대분류_착지물동량 기타","대분류_착지물동량 도서/음반","대분류_착지물동량 디지털/가전","대분류_착지물동량 생활/건강","대분류_착지물동량 스포츠/레저","대분류_착지물동량 식품","대분류_착지물동량 출산/육아","대분류_착지물동량 패션의류","대분류_착지물동량 패션잡화","대분류_착지물동량 화장품/미용"
20190601,전라북도,45,서울특별시,11,중구,11140,0,12,0,3,5,0,4,0,42,16,3
20190601,전라북도,45,서울특별시,11,용산구,11170,0,11,0,38,3,3,0,0,16,13,3
20190601,전라북도,45,서울특별시,11,성동구,11200,0,13,0,3,4,0,0,0,38,27,8
20190601,전라북도,45,서울특별시,11,광진구,11215,0,6,5,3,10,0,3,0,27,4,0
20190601,전라북도,45,서울특별시,11,동대문구,11230,0,7,0,0,5,0,0,0,46,6,5
20190601,전라북도,45,서울특별시,11,중랑구,11260,0,9,0,0,6,0,0,0,55,10,7
20190601,전라북도,45,서울특별시,11,성북구,11290,0,29,0,6,5,0,5,5,81,22,6
20190601,전라북도,45,서울특별시,11,강북구,11305,0,3,0,0,0,0,6,0,35,0,4
20190601,충청북도,43,서울특별시,11,강동구,11740,0,4,3,0,20,0,28,0,6,0,4
20190601,충청북도,43,서울특별시,11,송파구,11710,0,19,11,3,23,0,8,0,23,9,4
20190601,충청북도,43,서울특별시,11,강남구,11680,0,18,8,3,17,0,14,0,28,11,5
20190601,충청북도,43,서울특별시,11,서초구,11650,0,11,0,4,25,0,8,4,8,3,0
20190601,충청북도,43,서울특별시,11,관악구,11620,0,3,0,0,19,0,16,0,10,0,0
20190601,충청북도,43,서울특별시,11,동작구,11590,0,0,6,4,20,0,8,0,10,0,0
20190601,충청북도,43,서울특별시,11,영등포구,11560,0,8,4,8,13,0,30,0,10,6,4
20190601,충청북도,43,서울특별시,11,금천구,11545,0,8,4,7,9,4,10,0,25,24,0
20190601,충청북도,43,서울특별시,11,구로구,11530,4,13,6,6,19,3,13,0,11,17,0
20190601,충청북도,43,서울특별시,11,강서구,11500,0,10,14,3,28,0,13,5,36,3,3
20190601,충청북도,43,서울특별시,11,양천구,11470,0,8,4,0,22,0,9,0,3,0,0
20190601,충청북도,43,서울특별시,11,마포구,11440,0,8,6,7,21,0,17,0,13,7,6
20190601,충청북도,43,서울특별시,11,서대문구,11410,0,5,3,4,9,0,5,0,8,0,0
20190601,충청북도,43,서울특별시,11,은평구,11380,0,5,6,3,16,0,5,0,64,3,0
20190601,충청북도,43,서울특별시,11,노원구,11350,0,5,3,0,27,0,6,7,28,3,0
20190601,충청북도,43,서울특별시,11,도봉구,11320,0,0,0,3,14,0,4,0,16,6,0
20190601,경기도,41,서울특별시,11,관악구,11620,67,267,351,155,283,38,236,53,843,146,317
20190601,경기도,41,서울특별시,11,동작구,11590,65,212,451,80,225,53,199,57,663,130,303
20190601,경기도,41,서울특별시,11,영등포구,11560,66,296,371,121,263,46,244,63,705,136,348
20190601,강원도,42,서울특별시,11,종로구,11110,0,7,0,0,0,0,12,0,7,11,0
20190601,강원도,42,서울특별시,11,중구,11140,0,10,4,3,0,0,10,0,23,8,0
20190601,강원도,42,서울특별시,11,용산구,11170,0,7,0,17,0,0,12,0,4,9,0
20190601,강원도,42,서울특별시,11,성동구,11200,0,7,4,3,8,0,15,3,25,16,0
20190601,강원도,42,서울특별시,11,광진구,11215,0,6,0,5,13,0,19,0,7,0,0
20190601,강원도,42,서울특별시,11,동대문구,11230,0,6,0,4,4,0,27,0,19,10,0
20190601,강원도,42,서울특별시,11,중랑구,11260,0,5,5,0,3,0,16,0,18,7,0
20190601,강원도,42,서울특별시,11,성북구,11290,0,28,6,6,0,0,25,0,71,10,0
20190601,강원도,42,서울특별시,11,강북구,11305,0,0,0,0,0,0,17,0,9,7,0
