배송년월일,송하인_시명,송하인_시코드,수하인_시명,수하인_시코드,수하인_구명,수하인_구코드,대분류_착지물동량 가구/인테리어,대분류_착지물동량 기타,대분류_착지물동량 도서/음반,대분류_착지물동량 디지털/가전,대분류_착지물동량 생활/건강,대분류_착지물동량 스포츠/레저,대분류_착지물동량 식품,대분류_착지물동량 출산/육아,대분류_착지물동량 패션의류,대분류_착지물동량 패션잡화,대분류_착지물동량 화장품/미용
20231201,서울특별시,11,서울특별시,11,도봉구,11320,138,452,171,512,787,186,595,138,1566,1023,351
20231201,서울특별시,11,서울특별시,11,노원구,11350,225,743,262,799,1337,257,920,232,2654,1682,554
20231201,서울특별시,11,서울특별시,11,은평구,11380,252,634,245,810,1179,271,840,209,2538,1593,591
20231201,서울특별시,11,서울특별시,11,서대문구,11410,215,599,250,584,895,197,662,186,2055,1342,364
20231201,서울특별시,11,서울특별시,11,마포구,11440,337,932,370,1021,1571,330,1012,281,2858,2124,600
20231201,서울특별시,11,서울특별시,11,양천구,11470,229,630,334,717,1118,262,703,245,2168,1477,483
20231201,서울특별시,11,서울특별시,11,강서구,11500,393,1067,379,1278,1707,394,1252,363,3676,2401,945
20231201,서울특별시,11,서울특별시,11,구로구,11530,233,666,276,859,1212,277,799,232,2398,1572,552
20231201,서울특별시,11,서울특별시,11,강동구,11740,257,727,284,834,1275,306,885,263,2571,1654,559
20231201,서울특별시,11,서울특별시,11,송파구,11710,443,1247,496,1383,2310,496,1326,450,4163,2844,1875
20231201,서울특별시,11,서울특별시,11,강남구,11680,503,1712,672,1593,2906,493,1912,412,4278,3096,1982
20231201,서울특별시,11,서울특별시,11,서초구,11650,391,957,418,1158,1939,350,1367,305,2805,2058,1375
20231201,서울특별시,11,서울특별시,11,관악구,11620,282,890,317,992,1396,312,1039,244,3503,2100,1310
20231201,서울특별시,11,서울특별시,11,동작구,11590,232,656,253,758,1124,224,850,263,2402,2293,1207
20231201,서울특별시,11,서울특별시,11,영등포구,11560,289,1011,377,1001,1814,289,861,280,2470,1871,594
20231201,서울특별시,11,서울특별시,11,금천구,11545,180,606,174,743,908,247,513,143,1538,1172,779
20231201,서울특별시,11,서울특별시,11,종로구,11110,146,498,240,395,909,121,531,123,1218,937,510
20231201,서울특별시,11,서울특별시,11,중구,11140,180,648,196,545,1222,145,536,152,1862,1262,686
20231201,서울특별시,11,서울특별시,11,용산구,11170,200,586,239,976,986,188,607,148,1619,1179,359
20231201,서울특별시,11,서울특별시,11,성동구,11200,248,947,442,675,1108,240,657,184,3055,2226,483
20231201,서울특별시,11,서울특별시,11,광진구,11215,225,647,239,694,1091,248,682,195,2361,1563,503
20231201,서울특별시,11,서울특별시,11,동대문구,11230,226,722,247,655,997,235,727,193,2582,1668,1060
20231201,서울특별시,11,서울특별시,11,중랑구,11260,203,559,182,631,985,196,657,193,2263,1353,439
20231201,서울특별시,11,서울특별시,11,성북구,11290,214,837,296,806,1170,258,875,305,3189,1783,1328
20231201,서울특별시,11,서울특별시,11,강북구,11305,104,459,125,430,705,157,541,131,1526,987,328
20231201,부산광역시,26,서울특별시,11,강남구,11680,72,515,35,110,405,56,811,29,544,397,125
20231201,부산광역시,26,서울특별시,11,서초구,11650,37,428,34,79,243,42,511,34,289,260,87
20231201,부산광역시,26,서울특별시,11,관악구,11620,38,254,26,57,238,44,480,20,471,281,73
20231201,부산광역시,26,서울특별시,11,동작구,11590,34,241,21,59,185,30,389,31,320,242,79
20231201,부산광역시,26,서울특별시,11,영등포구,11560,28,230,15,88,244,29,473,25,331,251,66
20231201,부산광역시,26,서울특별시,11,금천구,11545,27,200,22,78,128,27,192,16,252,188,41
20231201,부산광역시,26,서울특별시,11,성동구,11200,33,231,54,43,154,35,298,31,440,334,57
20231201,부산광역시,26,서울특별시,11,광진구,11215,27,197,16,47,162,27,348,18,344,223,74
20231201,부산광역시,26,서울특별시,11,종로구,11110,10,112,15,32,108,21,202,10,159,159,26
20231201,부산광역시,26,서울특별시,11,강북구,11305,22,117,9,40,132,17,259,14,235,150,37
20231201,부산광역시,26,서울특별시,11,도봉구,11320,22,138,11,50,138,29,273,23,247,165,67
20231201,부산광역시,26,서울특별시,11,노원구,11350,26,257,14,73,257,49,465,29,383,254,92
20231201,부산광역시,26,서울특별시,11,은평구,11380,41,218,11,59,221,29,443,33,333,274,74
20231201,부산광역시,26,서울특별시,11,서대문구,11410,21,189,8,50,154,31,327,20,297,205,68
20231201,부산광역시,26,서울특별시,11,마포구,11440,57,286,27,68,245,44,461,19,355,230,73
20231201,부산광역시,26,서울특별시,11,양천구,11470,34,265,15,50,208,42,349,18,331,211,77
20231201,부산광역시,26,서울특별시,11,강서구,11500,55,350,41,98,330,69,603,41,576,394,105
20231201,부산광역시,26,서울특별시,11,구로구,11530,24,199,17,67,208,25,367,39,366,262,69
20231201,부산광역시,26,서울특별시,11,동대문구,11230,17,198,16,44,174,36,326,27,375,224,68
20231201,부산광역시,26,서울특별시,11,중랑구,11260,35,200,14,53,197,34,341,25,321,244,67
20231201,부산광역시,26,서울특별시,11,성북구,11290,26,307,11,51,202,41,417,33,515,261,87
20231201,부산광역시,26,서울특별시,11,중구,11140,25,182,16,39,144,17,232,11,218,141,29
20231201,부산광역시,26,서울특별시,11,강동구,11740,31,220,25,63,222,49,428,22,351,234,82
20231201,부산광역시,26,서울특별시,11,송파구,11710,50,401,27,103,381,64,777,45,538,411,141
20231201,부산광역시,26,서울특별시,11,용산구,11170,28,174,19,96,139,21,269,18,232,130,44
20231201,대구광역시,27,서울특별시,11,양천구,11470,83,64,12,45,306,47,254,25,150,179,94
20231201,대구광역시,27,서울특별시,11,강동구,11740,90,77,15,53,321,56,268,33,153,213,110
20231201,대구광역시,27,서울특별시,11,송파구,11710,155,154,20,78,498,71,441,57,252,322,161
20231201,대구광역시,27,서울특별시,11,강남구,11680,158,213,14,117,612,82,495,44,304,291,189
20231201,대구광역시,27,서울특별시,11,서초구,11650,137,117,14,56,357,62,303,38,181,208,100
20231201,대구광역시,27,서울특별시,11,관악구,11620,135,91,24,57,353,53,304,35,209,250,141
20231201,대구광역시,27,서울특별시,11,동작구,11590,92,60,18,32,259,48,209,33,173,173,85
20231201,대구광역시,27,서울특별시,11,영등포구,11560,126,94,13,62,321,57,301,41,123,197,126
20231201,대구광역시,27,서울특별시,11,금천구,11545,65,69,9,45,282,27,136,14,133,149,60
20231201,대구광역시,27,서울특별시,11,구로구,11530,92,70,10,74,279,52,226,30,159,192,101
20231201,대구광역시,27,서울특별시,11,종로구,11110,55,65,11,24,163,15,130,14,77,103,54
20231201,대구광역시,27,서울특별시,11,중구,11140,80,74,14,35,225,29,133,14,143,142,37
20231201,대구광역시,27,서울특별시,11,용산구,11170,74,61,4,62,205,26,200,10,80,110,62
20231201,대구광역시,27,서울특별시,11,성동구,11200,98,115,22,54,246,40,214,29,251,263,66
20231201,대구광역시,27,서울특별시,11,광진구,11215,80,75,6,45,287,40,216,25,141,170,103
20231201,대구광역시,27,서울특별시,11,동대문구,11230,92,69,11,47,277,49,222,28,192,216,96
20231201,대구광역시,27,서울특별시,11,중랑구,11260,71,76,8,32,271,37,181,20,166,156,82
20231201,대구광역시,27,서울특별시,11,성북구,11290,100,101,13,38,307,58,252,39,247,208,98
20231201,대구광역시,27,서울특별시,11,강북구,11305,67,65,5,32,201,34,187,17,102,103,74
20231201,대구광역시,27,서울특별시,11,도봉구,11320,63,73,9,35,194,31,162,7,128,123,62
20231201,대구광역시,27,서울특별시,11,노원구,11350,109,83,13,45,388,53,309,32,168,195,95
20231201,대구광역시,27,서울특별시,11,은평구,11380,114,67,15,47,299,46,253,29,163,182,96
20231201,대구광역시,27,서울특별시,11,서대문구,11410,96,58,9,29,232,31,208,34,118,147,83
20231201,대구광역시,27,서울특별시,11,마포구,11440,137,91,12,63,377,51,260,28,190,230,94
20231201,대구광역시,27,서울특별시,11,강서구,11500,148,146,19,84,493,89,408,52,237,311,164
20231201,인천광역시,28,서울특별시,11,성북구,11290,167,282,49,585,712,184,396,92,750,807,277
20231201,인천광역시,28,서울특별시,11,중랑구,11260,175,215,29,497,645,146,293,83,547,613,273
20231201,인천광역시,28,서울특별시,11,동대문구,11230,162,244,45,529,657,140,330,95,624,704,300
20231201,인천광역시,28,서울특별시,11,광진구,11215,151,243,67,551,711,134,372,73,611,758,272
20231201,인천광역시,28,서울특별시,11,성동구,11200,140,248,79,444,647,111,343,63,682,657,257
20231201,인천광역시,28,서울특별시,11,용산구,11170,131,170,49,424,532,109,304,41,350,460,201
20231201,인천광역시,28,서울특별시,11,중구,11140,116,210,131,342,654,78,209,43,474,564,189
20231201,인천광역시,28,서울특별시,11,종로구,11110,78,129,52,269,395,58,205,40,326,395,116
20231201,인천광역시,28,서울특별시,11,강동구,11740,186,218,63,586,817,189,401,103,595,733,358
20231201,인천광역시,28,서울특별시,11,송파구,11710,312,385,122,961,1247,250,679,142,895,1164,545
20231201,인천광역시,28,서울특별시,11,강남구,11680,314,519,138,981,1342,256,710,149,1089,1433,534
20231201,인천광역시,28,서울특별시,11,서초구,11650,228,315,112,696,934,170,463,84,572,806,369
20231201,인천광역시,28,서울특별시,11,관악구,11620,242,274,47,684,855,160,453,86,724,843,376
20231201,인천광역시,28,서울특별시,11,동작구,11590,158,233,43,550,586,129,357,77,567,927,297
20231201,인천광역시,28,서울특별시,11,영등포구,11560,224,327,73,675,778,144,473,89,609,767,361
20231201,인천광역시,28,서울특별시,11,금천구,11545,103,201,50,399,626,104,214,51,460,550,191
20231201,인천광역시,28,서울특별시,11,구로구,11530,181,270,146,672,856,177,430,94,633,794,365
20231201,인천광역시,28,서울특별시,11,강서구,11500,317,367,121,886,1165,244,549,118,890,1053,453
20231201,인천광역시,28,서울특별시,11,양천구,11470,151,212,46,513,722,177,369,79,576,676,303
20231201,인천광역시,28,서울특별시,11,마포구,11440,267,337,90,670,954,146,409,91,604,876,324
20231201,인천광역시,28,서울특별시,11,서대문구,11410,136,217,65,432,659,117,331,73,457,643,276
20231201,인천광역시,28,서울특별시,11,은평구,11380,200,220,44,644,838,173,439,97,611,700,317
20231201,인천광역시,28,서울특별시,11,노원구,11350,209,245,51,580,852,190,446,106,717,774,309
20231201,인천광역시,28,서울특별시,11,도봉구,11320,106,153,30,354,458,116,273,44,470,469,178
20231201,인천광역시,28,서울특별시,11,강북구,11305,133,160,21,358,423,110,252,55,382,431,204
20231201,광주광역시,29,서울특별시,11,마포구,11440,5,18,8,29,74,3,253,13,61,44,15
20231201,광주광역시,29,서울특별시,11,강동구,11740,10,20,4,10,45,4,244,11,47,36,7
20231201,광주광역시,29,서울특별시,11,송파구,11710,5,29,12,41,82,6,365,17,74,43,22
20231201,광주광역시,29,서울특별시,11,강남구,11680,12,69,10,55,80,11,390,11,103,65,17
20231201,광주광역시,29,서울특별시,11,서초구,11650,5,27,8,39,67,8,272,19,36,36,13
20231201,광주광역시,29,서울특별시,11,관악구,11620,5,26,6,27,53,0,270,8,71,37,10
20231201,광주광역시,29,서울특별시,11,동작구,11590,0,18,4,18,41,0,192,11,43,31,7
20231201,광주광역시,29,서울특별시,11,영등포구,11560,6,27,4,17,41,3,237,11,63,41,5
20231201,광주광역시,29,서울특별시,11,금천구,11545,0,39,0,22,28,5,133,6,46,34,4
20231201,광주광역시,29,서울특별시,11,구로구,11530,4,15,0,19,44,6,205,8,79,37,12
20231201,광주광역시,29,서울특별시,11,강서구,11500,6,29,6,25,69,6,356,18,87,65,17
20231201,광주광역시,29,서울특별시,11,양천구,11470,0,13,6,18,46,0,224,5,36,37,18
20231201,광주광역시,29,서울특별시,11,서대문구,11410,4,18,3,11,28,4,188,9,36,36,13
20231201,광주광역시,29,서울특별시,11,은평구,11380,6,12,0,15,42,5,248,10,45,30,15
20231201,광주광역시,29,서울특별시,11,노원구,11350,8,25,5,16,58,3,227,15,58,41,18
20231201,광주광역시,29,서울특별시,11,도봉구,11320,0,16,0,12,28,5,154,6,52,16,5
20231201,광주광역시,29,서울특별시,11,강북구,11305,0,17,5,13,25,3,137,4,34,16,4
20231201,광주광역시,29,서울특별시,11,성북구,11290,8,39,7,21,43,8,178,14,106,63,13
20231201,광주광역시,29,서울특별시,11,중랑구,11260,4,32,4,20,31,3,149,9,66,40,8
20231201,광주광역시,29,서울특별시,11,동대문구,11230,4,25,4,19,26,3,152,7,70,28,10
20231201,광주광역시,29,서울특별시,11,광진구,11215,8,19,4,27,36,3,202,9,54,33,10
20231201,광주광역시,29,서울특별시,11,성동구,11200,3,30,16,24,39,8,181,7,159,58,5
20231201,광주광역시,29,서울특별시,11,용산구,11170,6,13,4,42,31,0,144,0,35,16,3
20231201,광주광역시,29,서울특별시,11,중구,11140,4,15,7,13,26,4,116,5,77,11,3
20231201,광주광역시,29,서울특별시,11,종로구,11110,0,9,5,10,26,0,103,0,42,23,4
20231201,대전광역시,30,서울특별시,11,송파구,11710,25,49,11,40,194,16,707,33,71,101,84
20231201,대전광역시,30,서울특별시,11,강남구,11680,22,101,8,45,241,15,830,19,115,112,67
20231201,대전광역시,30,서울특별시,11,서초구,11650,14,42,14,38,124,9,531,22,46,51,48
20231201,대전광역시,30,서울특별시,11,관악구,11620,4,36,7,20,113,8,589,20,62,41,35
20231201,대전광역시,30,서울특별시,11,동작구,11590,5,21,8,30,83,4,463,12,52,36,35
20231201,대전광역시,30,서울특별시,11,영등포구,11560,14,41,10,30,118,8,469,29,41,67,31
20231201,대전광역시,30,서울특별시,11,금천구,11545,4,40,7,29,80,5,245,17,51,44,21
20231201,대전광역시,30,서울특별시,11,구로구,11530,7,32,4,29,122,12,420,19,68,53,37
20231201,대전광역시,30,서울특별시,11,강서구,11500,13,49,6,34,185,11,619,47,88,69,58
20231201,대전광역시,30,서울특별시,11,양천구,11470,8,28,7,20,127,7,411,16,48,39,38
20231201,대전광역시,30,서울특별시,11,마포구,11440,14,50,10,32,116,7,441,18,68,50,37
20231201,대전광역시,30,서울특별시,11,서대문구,11410,11,33,4,18,114,0,338,12,44,30,25
20231201,대전광역시,30,서울특별시,11,은평구,11380,12,28,5,26,95,4,467,27,46,40,43
20231201,대전광역시,30,서울특별시,11,노원구,11350,14,54,7,25,151,9,483,26,50,61,38
20231201,대전광역시,30,서울특별시,11,도봉구,11320,4,27,3,17,109,8,323,13,37,38,16
20231201,대전광역시,30,서울특별시,11,강북구,11305,13,24,0,12,78,6,274,17,38,32,14
